Id,Key,Latina(lat),English(en),Ukrainian(Ua)
85,sulcus costae,sulcus costae,costal groove,борозна ребра
86,crista capitis costae,crista capitis costae,crest of the head,гребінь головки ребра
87,facies articularis capitis costae,facies articularis capitis costae,articular facet of the head,суглобова поверхня головки ребра
88,costa I,costa I,first rib,перше ребро
89,costa II,costa II,second rib,друге ребро
90,sulcus arteriae subclaviae,sulcus arteriae subclaviae,groove for subclavian artery,борозна підключичної артерії
91,sulcus venae subclaviae,sulcus venae subclaviae,groove for subclavian vein,борозна підключичної вени
92,tuberculum musculi scaleni anterioris,tuberculum musculi scaleni anterioris,scalene tubercle,горбок переднього драбинчастого м’яза
93,tuberculum costae,tuberculum costae,tubercle of the rib,горбок ребра
94,corpus costae,corpus costae,body of the rib,тіло ребра
95,tuberositas musculi serrati anterioris,tuberositas musculi serrati anterioris,tubercle for anterior serrate muscle,горбистість переднього зубчастого м’яза
96,caput costae,caput costae,neck of the rib,головка ребра
97,collum costae,collum costae,head of the rib,шийка ребра
98,incisura jugularis,incisura jugularis,jugular notch,яремна вирізка
99,angulus sterni,angulus sterni,sternal angle,кут груднини
100,processus xiphoideus,processus xiphoideus,xiphoid process,мечоподібний відросток
101,incisura costalis VII,incisura costalis VII,costal notch for the VII rib,реброві вирізка VI ребера
102,incisura costalis VI,incisura costalis VI,costal notch for the VI rib,реброва вирізка VII ребера
103,incisura costalis V,incisura costalis V,costal notch for the V rib,реброва вирізка V ребера
104,incisura costalis IV,incisura costalis IV,costal notch for the IV rib,реброва вирізка IV ребра
105,incisura costalis III,incisura costalis III,costal notch for the III rib,реброва вирізка III ребра
106,incisura costalis II,incisura costalis II,costal notch for the II rib,реброва вирізка II ребра
107,incisura costalis I,incisura costalis I,costal notch for the I rib,реброва вирізка І ребра
108,incisura clavicularis,incisura clavicularis,clavicular notch,ключична вирізка
109,apertura thoracis superior,apertura thoracis superior,superior thoracis opening,верхній отвір грудної клітки
110,spatium intercostale,spatium intercostale,intercostale space,міжребровий простір
111,cartilago costalis,cartilago costalis,costal cargilage,ребровий хрящ
112,os costale,os costale,bony part of rib,кісткове ребро
113,arcus costalis,arcus costalis,costal arches,реброва дуга
114,apertura thoracis inferior,apertura thoracis inferior,inferior thoracis aperture,нижній отвір грудної клітки
115,angulus infrasternalis,angulus infrasternalis,subcostal angle,підгруднинний кут
116,costalis fluctuante XII,costalis fluctuante XII,floating rib XII,коливне ребро ХІІ
117,costalis fluctuante XI,costalis fluctuante XI,floating rib XI,коливне ребро ХІ
118,costalis spuriae XII,costalis spuriae XII,fals rib XII,несправжне ребро XII
119,costalis spuriae XI,costalis spuriae XI,fals rib XI,несправжне ребро XI
120,costalis spuriae X,costalis spuriae X,fals rib X,несправжне ребро X
121,costalis spuriae IX,costalis spuriae IX,fals rib IX,несправжне ребро IX
122,costalis spuriae VIII,costalis spuriae VIII,fals rib VIII,несправжне ребро VIII
123,costalis verae VII,costalis verae VII,true rib VII,справжне ребро VII
124,costalis verae VI,costalis verae VI,true rib VI,справжне ребро VI
125,costalis verae V,costalis verae V,true rib V,справжне ребро IV
126,costalis verae IV,costalis verae IV,true rib IV,справжне ребро V
127,costalis verae III,costalis verae III,true rib III,справжне ребро III
128,costalis verae II,costalis verae II,true rib II,справжне ребро II
129,costalis verae I,costalis verae I,true rib I,справжне ребро I
130,corpus sterni,corpus sterni,body of the sternum,тіло груднини
131,manubrium sterni,manubrium sterni,manubrium of the sternum,ручка груднини
132,Thorax,Thorax,Thoracic cage,Грудна клітка
133,linea temporalis inferior,linea temporalis inferior,inferior temporal line,нижня скронева лінія
134,linea temporalis superior,linea temporalis superior,superior temporal line,верхня скронева лінія
135,pars squamosa ossis temporalis,pars squamosa ossis temporalis,squamous part of temporal bone,лускова частина скроневої кістки
136,sutura squamosa,sutura squamosa,squamous suture,лускове шво
137,sutura coronalis,sutura coronalis,coronal suture,вінцеве шво
138,sutura sphenoparietalis,sutura sphenoparietalis,sphenoparietal suture,клиноподібно-тім’яне шво
139,tuber frontale,tuber frontale,frontal tuber,лобовий горб
140,linea temporalis,linea temporalis,temporal line,скронева лінія
141,facies temporalis alae majoris ossis sphenoidalis,facies temporalis alae majoris ossis sphenoidalis,temporal surface of the greater wing,скронева поверхня великих крил клиноподібної кістки
142,margo sphenoidalis,margo sphenoidalis,temporosphenoid suture,клиноподібний край
143,processus zygomaticus,processus zygomaticus,zygomatic process,виличний відросток
144,lamina orbitalis ossis ethmoidalis,lamina orbitalis ossis ethmoidalis,orbital plate of the ethmoid bone,очноямкова пластинка решітчастої кістки
145,os lacrimale,os lacrimale,lacrimal bone,сльозова кістка
146,sutura nasomaxillaris,sutura nasomaxillaris,nasomaxillar suture,носоверхньощелепне шво
147,os nasale,os nasale,nasal bone,носова кістка
148,sutura ethmoideolacrimalis,sutura ethmoideolacrimalis,ethmoidolacrimal suture,решітчастосльозове шво
149,fossa temporalis,fossa temporalis,temporal fossa,скронева ямка
150,spina nasalis anterior,spina nasalis anterior,anterior nasal spine,передня носова ость
151,sutura temporozygomatica,sutura temporozygomatica,temporozygomatic suture,скроневовиличне шво
152,arcus zygomaticus,arcus zygomaticus,zygomatic arch,вилична дуга
153,processus styloideus,processus styloideus,styloid process,шилоподібний відросток
154,processus mastoideus,processus mastoideus,mastoid process,соскоподібний відросток
155,porus acusticus externus,porus acusticus externus,external acoustic opening,зовнішній слуховий отвір
156,sutura occipitomastoidea,sutura occipitomastoidea,occipitomastoid suture,потилично-соскоподібне шво
157,sutura parietomastoidea,sutura parietomastoidea,parietomastoid suture,тім’яно-соскоподібне шво
158,sutura lambdoidea,sutura lambdoidea,lambdoid suture,лямбдоподібне шво
159,Os occipitale,Os occipitale,Occipital bone,Потилична кістка
160,margo lambdoideus,margo lambdoideus,lambdoid margin,ламбдоподібний край
161,margo mastoideus,margo mastoideus,mastoid margin,соскоподібний край
162,sulcus sinus sigmoidei,sulcus sinus sigmoidei,groove for sigmoid sinus,борозна сигмоподібної пазухи
163,canalis condylaris,canalis condylaris,condylar canal,виростковий канал
164,sulcus sinus petrosi inferioris,sulcus sinus petrosi inferioris,groove for inferior petrous sinus,борозна нижньої кам’янистої пазухи
165,pars basilaris,pars basilaris,basilar part,основна частина
166,processus jugularis,processus jugularis,jugular process,яремний відросток
167,sulcus sinus transversi,sulcus sinus transversi,groove for transverse sinus,борозна поперечної пазухи
168,eminentia cruciformis,eminentia cruciformis,cruciform eminence,хрестоподібне підвищення
169,sulcus sinus sagittalis superioris,sulcus sinus sagittalis superioris,groove for the superior sagittal sinus,борозна верхньої стрілової пазухи
170,clivus,clivus,clivus,схил
171,tuberculum jugulare,tuberculum jugulare,jugular tubercle,яремний горбок
172,protuberantia occipitalis externa,protuberantia occipitalis externa,external occipital protuberance,зовнішній потиличний виступ
173,linea nuchalis suprema,linea nuchalis suprema,highest nuchal line,найвища каркова лінія
174,linea nuchalis superior,linea nuchalis superior,superior nuchal line,верхня каркова лінія
175,linea nuchalis inferior,linea nuchalis inferior,inferior nuchal line,нижня каркова лінія
176,canalis nervi hypoglossi,canalis nervi hypoglossi,hypoglossal canal,канал під’язикового нерва
177,tuberculum pharyngeum,tuberculum pharyngeum,pharyngeal tubercle,глотковий горбок
178,processus paramastoideus,processus paramastoideus,paramastoid process,присоскоподібний відросток
179,fossa condylaris,fossa condylaris,condylar fossa,виросткова ямка
180,crista occipitalis externa,crista occipitalis externa,external occipital crest,зовнішній потиличний гребінь
181,Os parietale,Os parietale,Parietal bone,Тім’яна кістка
182,margo sagittalis,margo sagittalis,sagittal margin,стріловий край
183,facies externa,facies externa,external surface,зовнішня поверхня
184,angulus frontalis,angulus frontalis,frontal angle,лобовий кут
185,margo frontalis,margo frontalis,frontal margin,лобовий край
186,margo squamosus,margo squamosus,squamous margin,лусковий край
187,angulus mastoideus,angulus mastoideus,mastoid angle,соскоподібний кут
188,margo occipitalis,margo occipitalis,occipital margin,потиличний край
189,angulus occipitalis,angulus occipitalis,occipital angle,потиличний кут
190,tuber parietale,tuber parietale,parietal tuber,тім’яний горб
191,foramen parietale,foramen parietale,parietal foramen,тім’яний отвір
192,sulci arteriosi,sulci arteriosi,grooves for arteries,артеріальні борозни
193,angulus sphenoidalis,angulus sphenoidalis,sphenoid angle,клиноподібний кут
194,foveolae granulares,foveolae granulares,granular foveolae,зернисті ямочки
195,Os frontale,Os frontale,Frontal bone,Лобова кістка
196,glabella,glabella,glabella,надперенісся
197,margo supraorbitalis,margo supraorbitalis,supraorbital margin,надочноямковий край
198,pars nasalis,pars nasalis,nasal part,носова частина
199,spina nasalis,spina nasalis,nasal spine,носова ость
200,sutura frontalis,sutura frontalis,frontal suture,лобове шво
201,incisura frontalis,incisura frontalis,frontal notch,лобова вирізка
202,foramen supraorbitale,foramen supraorbitale,supraorbital foramen,надочноямковий отвір
203,arcus superciliaris,arcus superciliaris,superciliar arch,надбрівна дуга
204,facies temporalis,facies temporalis,temporal surface,скронева поверхня
205,squama frontalis,squama frontalis,squamous part,лобова луска
206,facies interna,facies interna,external surface,внутрішня поверхня
207,impressiones digitatae,impressiones digitatae,impressions of cerebral gyri,пальцеподібні втиснення
208,pars orbitalis,pars orbitalis,orbital part,очноямкова частина
209,crista frontalis,crista frontalis,frontal crest,лобовий гребінь
210,margo nasalis,margo nasalis,nasal margin,носовий край
211,incisura supraorbitalis,incisura supraorbitalis,supraorbital notch,надочноямкова вирізка
212,fovea trochlearis,fovea trochlearis,trochlear fovea,блокова ямка
213,incisura ethmoidalis,incisura ethmoidalis,ethmoidal notch,решітчаста вирізка
214,fossa glandulae lacrimalis,fossa glandulae lacrimalis,fossa for lacrimal gland,ямка сльозової залози
215,spina trochlearis,spina trochlearis,trochlear spine,блокова ость
216,Os sphenoidale,Os sphenoidale,Sphenoid bone,Клиноподібна кістка
217,processus clinoideus anterior,processus clinoideus anterior,anterior clinoid process,передній нахилений відросток
218,processus clinoideus posterior,processus clinoideus posterior,posterior clinoid process,задній нахилений відросток
219,dorsum sellae,dorsum sellae,back of sellae,спинка сідла
220,sulcus caroticus,sulcus caroticus,carotid groove,сонна борозна
222,lingula sphenoidalis,lingula sphenoidalis,sphenoidal lingula,клиноподібний язичок
223,sella turcica,sella turcica,sella turcica,турецьке сідло
224,ala major - facies cerebralis,ala major - facies cerebralis,greater wing - cerebral surface,велике крило - мозкова поверхня
225,ala minor,ala minor,lesser wing,мале крило
226,sulcus prechiasmaticus,sulcus prechiasmaticus,prechiasmatic groove,передперехресна борозна
227,apertura sinus sphenoidalis,apertura sinus sphenoidalis,opening of the sphenoidal sinus,отвір клиноподібної пазухи
228,hamulus pterygoideus,hamulus pterygoideus,pterygoid hamulus,крилоподібний гачок
229,lamina lateralis,lamina lateralis,lateral plate,бічна пластинка
230,lamina medialis,lamina medialis,medial plate,присередня пластинка
231,processus pterygoideus,processus pterygoideus,pterygoid process,крилоподібний відросток
232,foramen ovale,foramen ovale,oval foramen,овальний отвір
233,canalis palatovaginalis,canalis palatovaginalis,palatovaginal canal,піднебінно-піхвовий канал
234,corpus ossis sphenoidalis,corpus ossis sphenoidalis,body of the sphenoid bone,тіло клиноподібної кістки
235,processus vaginalis,processus vaginalis,vaginal process,піхвовий відросток
236,sulcus tubae auditivae,sulcus tubae auditivae,groove for auditory tube,борозна слухової труби
238,spina ossis sphenoidalis,spina ossis sphenoidalis,sphenoid spine,ость клиноподібної кістки
239,facies temporalis alae majoris,facies temporalis alae majoris,temporal surface of greater wing,скронева поверхня великого крила
240,crista infratemporalis,crista infratemporalis,intratemporal crest,підскроневий гребінь
241,ala major,ala major,greater wing,велике крило
242,rostrum sphenoidale,rostrum sphenoidale,sphenoid rostrum,клиноподібний дзьоб
243,sulcus vomerovaginalis,sulcus vomerovaginalis,vomerovaginal groove,лемешево-піхвова борозна
244,fissura orbitalis superior,fissura orbitalis superior,superior orbital fissure,верхня очноямкова щілина
245,margo zygomaticus,margo zygomaticus,zygomatic margin,виличний край
246,facies maxillaris,facies maxillaris,maxiliar surface,верхньощелепна поверхня
247,sulcus palatovaginalis,sulcus palatovaginalis,palatovaginal groove,піднебінно-піхвова борозна
248,crista sphenoidalis,crista sphenoidalis,sphenoid crest,клиноподібний гребінь
249,foramen rotundum,foramen rotundum,pterygoid canal,круглий отвір
250,facies orbitalis,facies orbitalis,orbital surfac,очноямкова поверхня
251,concha sphenoidalis,concha sphenoidalis,sphenoidal concha,клиноподібна раковина
253,canalis pterygoideus,canalis pterygoideus,pterygoid canal,крилоподібний канал
254,processus pterygospinosus,processus pterygospinosus,pterygoid process,крилоостистий відросток
255,fossa pterygoidea,fossa pterygoidea,pterygoid fossa,крилоподібна ямка
256,incisura pterygoidea,incisura pterygoidea,pterygoid notch,крилоподібна вирізка
257,sulcus hamuli pterygoidei,sulcus hamuli pterygoidei,groove of pterygoid hamulus,борозна крилоподібного гачка
258,fossa scaphoidea,fossa scaphoidea,scaphoid fossa,човноподібна ямка
259,canalis opticus,canalis opticus,optic canal,зоровий канал
260,Os temporale,Os temporale,Temporal bone,Скронева кістка
261,pars squamosa,pars squamosa,squamous part,лускова частина
262,incisura tympanica,incisura tympanica,tympanic notch,барабанна вирізка
263,fossa mandibularis,fossa mandibularis,mandibular fossa,нижньощелепна ямка
264,tuberculum articulare,tuberculum articulare,articular tubercle,суглобовий горбок
265,fissura petrosquamosa,fissura petrosquamosa,petrosquamous fissure,кам’янисто-лускова щілина
267,spina tympanica major,spina tympanica major,major tympanic spine,велика барабанна ость
268,pars tympanica,pars tympanica,tympanic part,барабанна частина
269,meatus acusticus externus,meatus acusticus externus,external auditory meatus,зовнішній слуховий хід
270,fissura tympanomastoidea,fissura tympanomastoidea,tympanomastoid fissure,барабанно-соскоподібна щілина
271,incisura mastoidea,incisura mastoidea,mastoid notch,соскоподібна вирізка
272,spina tympanica minor,spina tympanica minor,lesser tympanic spine,мала барабанна ость
273,foveola suprameatica,foveola suprameatica,suprameatic foveola,надходова ямочка
274,spina suprameatica,spina suprameatica,suprameatic spine,надходова ость
275,crista supramastoidea,crista supramastoidea,supramastoid crest,над-соскоподібний гребінь
276,incisura parietalis,incisura parietalis,parietal notch,тім’яна вирізка
277,sulcus arteriae temporalis mediae,sulcus arteriae temporalis mediae,groove for medial temporal artery,борозна середньої скроневої артерії
278,margo parietalis,margo parietalis,parietal margin,тім'янний край
279,eminentia arcuata,eminentia arcuata,arcuate eminence,дугове підвищення
280,tegmen tympani,tegmen tympani,tegmen tympani,покрівля барабанної порожнини
281,margo superior partis petrosae,margo superior partis petrosae,superior margin of petrous part,верхній край кам’янистої частини
282,apertura canaliculi vestibuli,apertura canaliculi vestibuli,groove for superior petrous sinus,отвір канальця присінка
283,fossa subarcuata,fossa subarcuata,subarcuate fossa,піддугова ямка
284,processus intrajugularis,processus intrajugularis,intrajugular process,внутрішньояремний відросток
285,vagina processus styloidei,vagina processus styloidei,vagina of the styloid process,піхва шилоподібного відростка
286,apertura canaliculi cochleae,apertura canaliculi cochleae,opening of the cochlear canaliculus,отвір канальця завитки
287,impressio trigeminalis,impressio trigeminalis,trigeminal impression,трійчасте втиснення
288,sulcus arteriosus,sulcus arteriosus,grooves for arteries,борозна артерії
289,margo posterior partis petrosae,margo posterior partis petrosae,posterior margin of petrous part,задній край кам'янистої частини
290,facies cerebralis,facies cerebralis,cerebral surface,мозкова поверхня
291,hiatus canalis n petrosi majoris,hiatus canalis n petrosi majoris,hiatus of canal of the greater petrosal nerve,розтвір каналу великого кам’янистого нерва
292,hiatus canalis n petrosi minoris,hiatus canalis n petrosi minoris,hiatus of canal of the lesser petrosal nerve,розтвір каналу малого кам’янистого нерва
293,sulcus n petrosi majoris,sulcus n petrosi majoris,groove for greater petrosal nerve,борозна великого кам’янистого нерва
294,sulcus n petrosi minoris,sulcus n petrosi minoris,groove for lesser petrosal nerve,борозна малого кам’янистого нерва
295,facies anterior partis petrosae,facies anterior partis petrosae,anterior surface of the petrous part,передня поверхня кам’янистої частини
296,impressio trigemini,impressio trigemini,trigeminal impression,трійчасте втиснення
297,pars petrosa,pars petrosa,petrous part,кам'яниста частина
298,canalis caroticus,canalis caroticus,carotid canal,сонний канал
299,fissura petrotympanica,fissura petrotympanica,petrotympanic fissure,кам'янисто-барабанна щілина
300,canalis musculotubarius,canalis musculotubarius,musculotubal canal,м’язово-трубний канал
301,apex partis petrosae,apex partis petrosae,apex of petrous part,верхівка кам’янистої частини
302,facies inferior partis petrosae,facies inferior partis petrosae,inferior surface of petrous part,нижня поверхня кам'янистої частини
303,apertura externa canaliculi cochleae,apertura externa canaliculi cochleae,opening of cochlear canaliculus,отвір канальця завитки
304,fossula petrosa,fossula petrosa,petrous fossula,кам'яниста ямочка
305,canaliculus mastoideus,canaliculus mastoideus,mastoid canaliculus,соскоподібний каналець
306,fossa jugularis,fossa jugularis,jugular fossa,яремна ямка
307,sulcus arteriae occipitalis,sulcus arteriae occipitalis,groove for occipital artery,борозна потиличної артерії
308,fissura tympanosquamosa,fissura tympanosquamosa,tympanosquamous fissure,барабанно-лускова щілина
309,facies articularis,facies articularis,articular surface,суглобова поверхня
310,Os ethmoidale,Os ethmoidale,Ethmoid bone,Решітчаста кістка
311,crista galli,crista galli,crista galli,півнячий гребінь
313,labyrinthus ethmoidalis,labyrinthus ethmoidalis,ethmoidal labyrinth,решітчастий лабіринт
314,lamina orbitalis,lamina orbitalis,orbital plate,очноямкова пластинка
315,lamina et foramina cribrosa,lamina et foramina cribrosa,cribriform plate and foramina,пластинка та дірчасті отвори
316,ala cristae galli,ala cristae galli,wing of the crista galli,крило півнячого гребіня
317,infrundibulum ethmoidale,infrundibulum ethmoidale,ethmoidal funnel,решітчаста лійка
318,processus uncinatus,processus uncinatus,uncinate process,гачкуватий відросток
319,bulla ethmoidalis,bulla ethmoidalis,ethmoidal bulla,решітчастий пухир
320,concha nasalis media,concha nasalis media,middle nasal concha,середня носова раковина
321,concha nasalis superior,concha nasalis superior,superior nasal concha,верхня носова раковина
322,cellulae ethmoidales,cellulae ethmoidales,ethmoidal cells,решітчасті комірки
323,foramen ethmoidale posterius,foramen ethmoidale posterius,posterior ethmoidal foramen,задній решітчастий отвір
324,foramen ethmoidale anterius,foramen ethmoidale anterius,anterior ethmoidal foramen,передній решітчастий отвір
326,Maxilla,Maxilla,Upper jaw,Верхня щелепа
327,processus frontalis,processus frontalis,frontal process,лобовий відросток
328,crista lacrimalis anterior,crista lacrimalis anterior,anterior lacrimal crest,передній сльозовий гребінь
329,sutura infraorbitalis,sutura infraorbitalis,infraorbital suture,підочноямкове шво
330,foramen infraorbitale,foramen infraorbitale,infraorbital foramen,підочноямковий отвір
332,incisura nasalis,incisura nasalis,nasal notch,носова вирізка
333,fossa canina,fossa canina,canine fossa,іклова ямка
334,juga alveolaria,juga alveolaria,alveolar juga,коміркові випини
335,arcus alveolaris,arcus alveolaris,alveolar arch,коміркова дуга
336,corpus maxillae,corpus maxillae,body of upper jaw,тіло верхньої щелепи
337,facies infratemporalis,facies infratemporalis,infratemporal surface,підскронева поверхня
338,foramina alveolaria,foramina alveolaria,alveolar foramina,коміркові отвори
339,tuber maxillae,tuber maxillae,tuber of upper jaw,горб верхньої щелепи
341,sulcus infraorbitalis,sulcus infraorbitalis,infraorbital groove,підочноямкова борозна
342,incisura lacrimalis,incisura lacrimalis,lachrymal notch,сльозова вирізка
343,margo lacrimalis,margo lacrimalis,maxillar margin,сльозовий край
344,hiatus maxillaris,hiatus maxillaris,maxillar hiatus,верхньощелепний розтвір
345,sulcus palatinus major,sulcus palatinus major,greater palatine groove,велика піднебінна борозна
346,crista nasalis,crista nasalis,nasal crest,носовий гребінь
347,processus alveolaris,processus alveolaris,alveolar process,комірковий відросток
348,processus palatinus,processus palatinus,palatine process,піднебінний відросток
349,canalis incisivus,canalis incisivus,incisive canal,різцевий канал
350,facies nasalis,facies nasalis,nasal surface,носова поверхня
351,crista ethmoidalis,crista ethmoidalis,ethmoidal crest,лобовий відросток
352,Os palatinum,Os palatinum,Right palate bone,Піднебінна кістка
353,processus orbitalis,processus orbitalis,orbital process,очноямковий відросток
354,incisura sphenopalatina,incisura sphenopalatina,sphenopalatine notch,клино-піднебінна вирізка
355,processus sphenoidalis,processus sphenoidalis,sphenoid process,клиноподібний відросток
356,processus pyramidalis,processus pyramidalis,pyramidal process,пірамідний відросток
357,crista nasalis posterior,crista nasalis posterior,posterior nasal spine,задній носовий гребінь
358,lamina horisontalis,lamina horisontalis,horizontal plate,горизонтальна пластинка
359,lamina perpendicularis,lamina perpendicularis,perpendicular plate,решітчастий гребінь
360,orbital process,orbital process,processus orbitalis,очноямковий відросток
361,greater palatine groove,greater palatine groove,sulcus palatinus major,велика піднебінна борозна
362,pterygoid fossa,pterygoid fossa,fossa pterygoidea,крилоподібна ямка
363,pyramidal process,pyramidal process,processus pyramidalis,пірамідний відросток
364,palatine surface,palatine surface,facies palatina,піднебінна поверхня
365,nasal crest,nasal crest,crista nasalis,носовий гребінь
366,horizontal plate,horizontal plate,lamina horizontalis,горизонтальна пластинка
367,conchal crest,conchal crest,crista conchalis,раковинний гребінь
368,perpendicular plate,perpendicular plate,lamina perpendicularis,перпендикулярна пластинка
369,sphenoid process,sphenoid process,processus sphenoidalis,клиноподібний відросток
370,sphenopalatine notch,sphenopalatine notch,incisura sphenopalatina,клинопідне-бінна вирізка
371,facies palatina,facies palatina,palatine surface,піднебінна поверхня
372,lamina horizontalis,lamina horizontalis,horizontal plate,горизонтальна пластинка
373,crista conchalis,crista conchalis,conchal crest,раковинний гребінь
374,Concha nasalis inferior,Concha nasalis inferior,Inferior nasal concha,Нижня носова раковина
375,processus ethmoidalis,processus ethmoidalis,ethmoid process,решітчастий відросток
376,processus lacrimalis,processus lacrimalis,lacrimal process,сльозовий відросток
377,processus maxillaris,processus maxillaris,max-illar process,верхньощелепний відросток
378,Os nasale,Os nasale,Right nasal bone,Носова кістка
379,sulcus ethmoidalis,sulcus ethmoidalis,ethmoidal groove,решітчаста борозна
380,sulcus lacrimalis,sulcus lacrimalis,lacrimal groove,сльозова борозна
