Id,Key,Latina(lat),English(en),Ukrainian(Ua)
69,skeleton membri superioris liberi,skeleton membri superioris liberi,the skeleton of the upper limb of the child,скелет верхньої кінцівки дитини
70,brachium,brachium,arm,рука
71,humerus,humerus,shoulder,плече
72,sulcus nervi radialis,sulcus nervi radialis,groove of the radial nerve,борозна променевого нерва
73,tuberculum majus,tuberculum majus,a larger tubercle,більший горбок
74,fossa olecrani,fossa olecrani,olecranon fossa,olecranon fossa
75,epicondylus lateralis,epicondylus lateralis,lateral epicondyle,латеральний надвиросток
76,trochlea humeri,trochlea humeri,shoulder pulley,плечовий шків
77,condylus humeri,condylus humeri,condyle of the shoulder,виросток плеча
78,sulcus nervi ulnaris,sulcus nervi ulnaris,sulcus of the ulnar nerve,борозна ліктьового нерва
79,epicondylus medialis,epicondylus medialis,medial epicondyle,медіальний надвиросток
80,crista supraepicondylaris medialis,crista supraepicondylaris medialis,medial supraepicondylar crest,медіальний над-надмищелковий гребінь
81,facies anteromedialis,facies anteromedialis,anteromedial face,передньомедіальне обличчя
82,corpus humeri,corpus humeri,shoulder body,плече тіла
83,collum chirurgicum,collum chirurgicum,surgical neck,хірургічна шийка
84,collum anatomicum,collum anatomicum,anatomical neck,анатомічна шия
85,caput humeri,caput humeri,shoulder head,плечова головка
86,tuberculum minus,tuberculum minus,tuber less,бульби менше
87,crista tuberculi minoris,crista tuberculi minoris,crest of the lesser tubercle,гребінь малого горбка
88,fossa coronoidea,fossa coronoidea,coronoid fossa,вінцевої ямки
89,processus supracondylaris,processus supracondylaris,supracondylar process,надвиростковий відросток
90,capitulum humeri,capitulum humeri,the head of the shoulder,головка плеча
91,fossa radialis,fossa radialis,radial trench,радіальна траншея
92,crista supraepicondylaris lateralis,crista supraepicondylaris lateralis,lateral supraepicondylar crest,латеральний наднадмищелковий гребінь
93,facies anterolateralis,facies anterolateralis,anterolateral face,передньобокове обличчя
94,tuberositas deltoidea,tuberositas deltoidea,deltoid tuberosity,дельтоподібна горбистість
95,crista tuberculi majoris,crista tuberculi majoris,the crest of the greater tubercle,гребінь великого горбка
96,manus,manus,hands,руками
97,carpus,carpus,wrist,зап'ястя
98,os trapezium,os trapezium,trapezius mouth,трапецієподібний рот
99,corpus,corpus,the body,тіло
100,tuberculum ossis trapezii,tuberculum ossis trapezii,tubercle of the trapezius bone,горбок трапецієподібної кістки
101,os scaphoideum,os scaphoideum,scaphoid bone,човноподібна кістка
102,os capitatum,os capitatum,the mouth is capped,рот закритий
103,os lunatum,os lunatum,crescent moon,півмісяць
104,os pisiforme,os pisiforme,pisiform mouth,пізоподібний рот
105,os hamatum,os hamatum,hooked mouth,гачкуватий рот
106,hamulus ossi hamati,hamulus ossi hamati,a hook of bone,гачок з кістки
107,os triquetrum,os triquetrum,triquetra mouth,triquetra рот
108,os trapezoideum,os trapezoideum,trapezoidal mouth,трапецієподібний рот
109,metacarpus,metacarpus,metacarpus,п'ясткова кістка
110,os metacarpale 1,os metacarpale 1,metacarpal bone 1,п'ясткова кістка 1
111,ossa sesamoidea,ossa sesamoidea,sesamoid bones,сесамоподібні кістки
112,caput,caput,the head,Глава
113,basis,basis,basis,основа
114,os metacarpale 2,os metacarpale 2,metacarpal bone 2,п'ясткова кістка 2
115,os metacarpale 3,os metacarpale 3,metacarpal bone 3,п'ясткова кістка 3
116,os metacarpale 4,os metacarpale 4,metacarpal bone 4,п'ясткова кістка 4
117,os metacarpale 5,os metacarpale 5,metacarpal bone 5,п'ясткова кістка 5
118,ossa metacarpi,ossa metacarpi,metacarpal bones,п'ясткових кісток
119,phalanx proximalis 5,phalanx proximalis 5,proximal phalanx 5,проксимальна фаланга 5
120,corpus phalangis,corpus phalangis,the body of the phalanx,тіло фаланги
121,basis phalangis,basis phalangis,the base of the phalanx,підстава фаланги
122,caput phalangis,caput phalangis,the head of the phalanx,головка фаланги
123,phalanx proximalis 4,phalanx proximalis 4,proximal phalanx 4,проксимальна фаланга 4
124,phalanx proximalis 3,phalanx proximalis 3,proximal phalanx 3,проксимальна фаланга 3
125,phalanx proximalis 2,phalanx proximalis 2,proximal phalanx 2,проксимальна фаланга 2
126,phalanx proximalis 1,phalanx proximalis 1,proximal phalanx 1,проксимальна фаланга 1
127,phalanx media 5,phalanx media 5,middle phalanx 5,середня фаланга 5
128,phalanx media 4,phalanx media 4,middle phalanx 4,середня фаланга 4
129,phalanx media 3,phalanx media 3,middle phalanx 3,середня фаланга 3
130,phalanx media 2,phalanx media 2,middle phalanx 2,середня фаланга 2
131,phalanx distalis 5,phalanx distalis 5,distal phalanx 5,дистальна фаланга 5
132,tuberositas phalangis distalis,tuberositas phalangis distalis,tuberosity of the distal phalanx,горбистість дистальної фаланги
133,phalanx distalis 4,phalanx distalis 4,distal phalanx 4,дистальна фаланга 4
134,phalanx distalis 3,phalanx distalis 3,distal phalanx 3,дистальна фаланга 3
135,phalanx distalis 2,phalanx distalis 2,distal phalanx 2,дистальна фаланга 2
136,phalanx distalis 1,phalanx distalis 1,distal phalanx 1,дистальна фаланга 1
137,antebrachium,antebrachium,forearm,передпліччя
138,ulna,ulna,ulna,ліктьова кістка
139,olecranon,olecranon,olecranon,олекран
140,incisura trochlearis,incisura trochlearis,trochlear incision,трохлеарний розріз
141,incisura radialis,incisura radialis,radial notch,радіальна виїмка
142,processus coronoideus,processus coronoideus,coronoid process,вінцевий відросток
143,tuberositas ulnae,tuberositas ulnae,tuberosity of the ulna,горбистість ліктьової кістки
144,corpus ulnae,corpus ulnae,the body of the ulna,тіло ліктьової кістки
145,margo anterior,margo anterior,anterior margin,передній край
146,facies anterior,facies anterior,front face,передня грань
147,caput ulnae,caput ulnae,the head of the ulna,головка ліктьової кістки
148,circumferentia articularis,circumferentia articularis,articular circumference,суглобова окружність
149,processus styloideus,processus styloideus,styloid process,шилоподібний відросток
150,margo posterior,margo posterior,posterior margin,задній край
151,facies medialis,facies medialis,medial face,медіальне обличчя
152,radius,radius,ray,промінь
153,caput radii,caput radii,the head of the ray,головка променя
154,collum radii,collum radii,the neck of the ray,шийка променя
155,tuberositas radii,tuberositas radii,tuberosity of the radius,горбистість променевої кістки
156,corpus radii,corpus radii,the body of the ray,тіло променя
157,facies lateralis,facies lateralis,side face,бічна грань
158,tuberculum dorsale,tuberculum dorsale,dorsal tubercle,спинний горбок
159,incisura ulnaris,incisura ulnaris,ulnar incision,ліктьовий розріз
160,facies articularis,facies articularis,articular facet,суглобова фасетка
161,margo interosseus,margo interosseus,interosseous margin,міжкістковий край
162,fovea articularis,fovea articularis,articular fossa,суглобова ямка
163,Ossa membri inferioris,Ossa membri inferioris,Bones of the lower limb,Кістки нижньої кінцівки
164,skeleton membri inferioris liberi,skeleton membri inferioris liberi,the skeleton of the lower limb of the child,скелет нижньої кінцівки дитини
165,femur,femur,thigh,стегно
166,caput femoris,caput femoris,the head of the femur,головка стегнової кістки
167,trochanter major,trochanter major,greater trochanter,великий вертел
168,crista intertrochanterica,crista intertrochanterica,intertrochanteric crest,межвертельний гребінь
169,trochanter tertius,trochanter tertius,third trochanter,третій вертел
170,tuberositas glutea,tuberositas glutea,gluteal tuberosity,сіднична горбистість
171,linea pectinea,linea pectinea,comb line,лінія гребінця
172,linea aspera,linea aspera,rough line,груба лінія
173,labium mediale,labium mediale,medial lip,медіальна губа
174,labium laterale,labium laterale,lateral lip,бічна губа
175,facies poplitea,facies poplitea,popliteal face,підколінне обличчя
176,linea supracondylaris lateralis,linea supracondylaris lateralis,lateral supracondylar line,латеральна надвиросткова лінія
177,linea intercondylaris,linea intercondylaris,intercondylar line,міжвиросткова лінія
178,condylus lateralis,condylus lateralis,lateral condyle,латеральний виросток
179,fossa intercondylaris,fossa intercondylaris,intercondylar fossa,міжвиросткова ямка
180,condylus medialis,condylus medialis,medial condyle,медіальний виросток
181,linea supracondylaris medialis,linea supracondylaris medialis,medial supracondylar line,медіальна надвиросткова лінія
182,tuberculum adductorium,tuberculum adductorium,adductor tubercle,привідний горбок
183,facies patellaris,facies patellaris,flat faces,плоскі обличчя
184,corpus femoris,corpus femoris,the body of the thigh,тіло стегна
185,linea intertrochanterica,linea intertrochanterica,intertrochanteric line,міжвертлюжна лінія
186,fovea саріtis femoris,fovea саріtis femoris,pit of sarіtis femoris,ямка sarіtis femoris
187,collum femoris,collum femoris,neck of the thigh,шийка стегна
188,trochanter minor,trochanter minor,lesser trochanter,малий вертел
189,patella,patella,plate,плита
190,basis patellae,basis patellae,base plate,Опорна плита
191,apex patellae,apex patellae,apex of the plate,верхівка пластини
192,crus,crus,leg,нога
193,tibia,tibia,flute,флейта
194,tuberositas tibiae,tuberositas tibiae,tuberosity of the tibia,горбистість великогомілкової кістки
195,margo interos- seus tibiae,margo interos- seus tibiae,the margin of the interosseous pipe,край міжкісткової труби
196,malleolus medialis,malleolus medialis,medial malleolus,медіальна кісточка
197,facies articularis malleoli,facies articularis malleoli,the articular facet of the hammer,суглобова грань молоточка
198,eminentia untercondylaris,eminentia untercondylaris,untercondylar eminence,міжвиросткове підвищення
199,sulcus malleolaris,sulcus malleolaris,malleolar groove,щиколоткова борозна
200,corpus tibiae,corpus tibiae,the body of the pipe,тіло труби
201,linea m. solei,linea m. solei,line m. used to,лінія m. звик
202,tuberculum intercondylare mediale,tuberculum intercondylare mediale,medial intercondylar tubercle,медіальний міжвиростковий горбок
203,area intercondylaris anterior,area intercondylaris anterior,anterior intercondylar area,передня міжвиросткова ділянка
204,facies articularis superior,facies articularis superior,superior articular facet,верхня суглобова фасетка
205,facies articularis inferior,facies articularis inferior,lower articular facet,нижня суглобова фасетка
206,fibula,fibula,buckle,пряжка
207,corpus fibulae,corpus fibulae,the body of the buckle,тіло пряжки
208,margo interos- seus,margo interos- seus,on the margin,на маргінесі
209,fossa malleoli lateralis,fossa malleoli lateralis,lateral malleolus,латеральна кісточка
210,malleolus lateralis,malleolus lateralis,lateral malleolus,латеральна кісточка
211,margo interos- seus fibulae,margo interos- seus fibulae,the margin of the clasp,край застібки
212,collum fibulae,collum fibulae,neck brace,шийний бандаж
213,caput fibulae,caput fibulae,the head of the buckle,головка пряжки
214,facies articularis capitis fibulae,facies articularis capitis fibulae,the articular facet of the head of the clasp,суглобова грань головки кламера
215,apex capitis fibulae,apex capitis fibulae,the apex of the clasp head,верхівка головки застібки
216,pedis,pedis,foot,стопа
217,tarsus,tarsus,ankle,щиколотка
218,os cuneiforme mediale,os cuneiforme mediale,medial cuneiform bone,медіальна клиноподібна кістка
219,os cuneiforme intermedium,os cuneiforme intermedium,intermediate cuneiform mouth,проміжне клиноподібне гирло
220,os cuneiforme laterale,os cuneiforme laterale,lateral cuneiform bone,латеральна клиноподібна кістка
221,os cuboideum,os cuboideum,cuboid bone,кубоподібна кістка
222,sulcus tendis m. peronei longi,sulcus tendis m. peronei longi,Tendis m. long fibula,Tendis m. довга малогомілкова кістка
223,tuberositas ossis cuboidei,tuberositas ossis cuboidei,tuberosity of the cuboid bone,горбистість кубоподібної кістки
224,os navicularae,os navicularae,the mouth of the ship,гирло корабля
225,tuberositas ossis navicularis,tuberositas ossis navicularis,tuberosity of the navicular bone,горбистість човноподібної кістки
226,calcaneus,calcaneus,heel,каблук
227,tuber calcanei,tuber calcanei,heel spur,п'яткова шпора
228,sulcus tendis m. flexoris hallucis longi,sulcus tendis m. flexoris hallucis longi,Tendis m. flexor hallucis longus,Tendis m. довгий згинач великого м'яза
229,tuberculum calcanei,tuberculum calcanei,tubercle of the heel,горбок п'яти
230,trochlea peronealis,trochlea peronealis,peroneal pulley,малогомілковий шків
231,sustentaculum tali,sustentaculum tali,the support of such,підтримка таких
232,processus medialis tuberis calcanei,processus medialis tuberis calcanei,medial process of the calcaneal tuber,медіальний відросток п'яткової горбка
233,sulcus tendinis mm. peroneorum,sulcus tendinis mm. peroneorum,tendon groove mm. of the fibula,сухожилкова борозна мм. малогомілкової кістки
234,processus lateralis tuber calcanei,processus lateralis tuber calcanei,lateral process of the calcaneal tuber,бічний відросток п'яткової горбка
235,facies articularis talaris posterior,facies articularis talaris posterior,the posterior aspect of the talar joint,задня сторона таранного суглоба
236,sulcus calcanei,sulcus calcanei,heel groove,п'яткова борозна
237,facies articularis talaris media,facies articularis talaris media,the medial aspect of the talar joint,медіальний аспект таранного суглоба
238,facies articularis talaris anterior,facies articularis talaris anterior,anterior aspect of the talar joint,передня сторона таранного суглоба
239,talus,talus,ankle,щиколотка
240,trochlea tali,trochlea tali,such a pulley,такий шків
241,facies malleolaris medialis,facies malleolaris medialis,medial malleolar face,медіальна щиколотка
242,facies superior trochleae,facies superior trochleae,the upper face of the pulley,верхню грань шківа
243,collum tali,collum tali,such a neck,така шия
244,facies malleoiaris lateralis,facies malleoiaris lateralis,the lateral malleolar face,бічна щиколотка
245,sinus tarsi,sinus tarsi,ankle sinus,гомілковостопний синус
246,processus lateralis tali,processus lateralis tali,such a lateral process,такий бічний відросток
247,processus posterior tali,processus posterior tali,such a later process,такий пізніший процес
248,sulcus tendinis m. flexoris hallucis longi,sulcus tendinis m. flexoris hallucis longi,sulcus tendon m. flexor hallucis longus,sulcus сухожилля m. довгий згинач великого м'яза
249,tuberculum laterale,tuberculum laterale,lateral tubercle,бічний горбок
250,tuberculum mediale,tuberculum mediale,medial tubercle,медіальний горбок
251,facies articularis navicularis,facies articularis navicularis,articular facet of the navicular,суглобова фасетка човноподібної кістки
252,caput tali,caput tali,such a head,така голова
253,facies articularis calcanea anterior,facies articularis calcanea anterior,anterior facet of the calcaneal joint,передня фасетка п'яткового суглоба
254,facies articularis calcanea media,facies articularis calcanea media,medial facet of the calcaneal joint,медіальна фасетка п'яткового суглоба
255,sulcus tali,sulcus tali,such a groove,така канавка
256,facies articularis calcanea posterior,facies articularis calcanea posterior,articular facet of the posterior calcaneum,суглобова фасетка задньої п'яткової кістки
257,corpus tali,corpus tali,the body of such,тіло такого
258,metatarsus,metatarsus,metatarsus,плюсна
259,os sesamoidea I,os sesamoidea I,sesamoid bone I,сесамоподібна кістка I
260,os sesamoidea II,os sesamoidea II,sesamoid bone II,сесамоподібна кістка II
261,os metatarsale I,os metatarsale I,metatarsal bone I,I плеснової кістки
262,tuberositas ossis metatarsalis,tuberositas ossis metatarsalis,tuberosity of the metatarsal bone,горбистість плеснової кістки
263,os metatarsale II,os metatarsale II,metatarsal bone II,плеснової кістки II
264,os metatarsale III,os metatarsale III,metatarsal bone III,плеснової кістки III
265,os metatarsale IV,os metatarsale IV,metatarsal bone IV,IV плеснової кістки
266,os metatarsale V,os metatarsale V,metatarsal bone V,V плеснової кістки
267,ossa digitorum,ossa digitorum,the bones of the fingers,кістки пальців
268,phalanx distalis V + phalanx media V,phalanx distalis V + phalanx media V,distal phalanx V + middle phalanx V,V дистальна фаланга + V середня фаланга
269,phalanx distalis,phalanx distalis,distal phalanx,дистальна фаланга
270,phalanx media,phalanx media,middle phalanx,середня фаланга
271,tuberositas phalangis distalis,tuberositas phalangis distalis,tuberosity of the distal phalanx,горбистість дистальної фаланги
272,phalanx distalis IV + phalanx media IV,phalanx distalis IV + phalanx media IV,distal phalanx IV + middle phalanx IV,дистальна фаланга IV + середня фаланга IV
273,phalanx distalis,phalanx distalis,distal phalanx,дистальна фаланга
274,phalanx proximalis I,phalanx proximalis I,proximal phalanx I,I проксимальна фаланга
275,phalanx proximalis II,phalanx proximalis II,proximal phalanx II,II проксимальна фаланга
276,phalanx proximalis III,phalanx proximalis III,proximal phalanx III,проксимальна фаланга III
277,phalanx proximalis IV,phalanx proximalis IV,proximal phalanx IV,проксимальна фаланга IV
278,phalanx proximalis V,phalanx proximalis V,proximal phalanx V,V проксимальна фаланга
279,phalanx media II,phalanx media II,middle phalanx II,середня фаланга II
280,phalanx media III,phalanx media III,middle phalanx III,середня фаланга III
281,phalanx distalis I,phalanx distalis I,distal phalanx I,І дистальна фаланга
282,phalanx distalis II,phalanx distalis II,distal phalanx II,дистальна фаланга II
283,phalanx distalis III,phalanx distalis III,distal phalanx III,III дистальна фаланга
284,spatia interossea metatarsi,spatia interossea metatarsi,to accumulate in the interosseous spaces,накопичуватися в міжкісткових проміжках
285,cingulum membri inferioris,cingulum membri inferioris,girdle of the lower limb,пояс нижньої кінцівки
286,os coxae,os coxae,hip bone,тазова кістка
287,Osseus,Osseus,Skeleton,Скелет
